original_user_id,block,condition
1020305036444880768,0_0_0,2
1020422316076032000,0_0_0,2
1020480420939534336,0_0_0,2
1020588885649154048,0_0_0,2
1020670309664345984,0_0_0,2
1020833720855552000,0_0_0,2
1021136410886061952,0_0_0,2
1021292018,0_0_0,2
102143307,0_0_0,2
1021598025171525632,0_0_0,2
102198906,0_0_0,2
102219141,0_0_0,2
1022504096467705856,0_0_0,2
1022567508585455616,0_0_0,2
102283760,0_0_0,2
1022929463112347648,0_0_0,2
1023090031,0_0_0,2
1023379788,0_0_0,2
1023411967300694016,0_0_0,2
1023753243489263616,0_0_0,2
1024072421912047616,0_0_0,2
1024286726766751616,0_0_0,2
1024520766,0_0_0,2
1024646809216601984,0_0_0,2
1024764966828695552,0_0_0,2
1024953954558504832,0_0_0,2
102517406,0_0_0,2
1025439568361865216,0_0_0,2
1025524525130231808,0_0_0,2
1025560753,0_0_0,2
1025613054,0_0_0,2
1025883473821630464,0_0_0,2
1025928379797790848,0_0_0,2
1026146097339748352,0_0_0,2
1026197162575765632,0_0_0,2
1026512036031803136,0_0_0,2
1026547325349634048,0_0_0,2
1026838209182019584,0_0_0,2
1026981141595602816,0_0_0,2
1027128518,0_0_0,2
1027393927522017152,0_0_0,2
1027466473,0_0_0,2
1027582285720301568,0_0_0,2
1027659364860129152,0_0_0,2
1027945995873726464,0_0_0,2
102831276,0_0_0,2
1028414567930425216,0_0_0,2
1028598213337526144,0_0_0,2
1028768013179281408,0_0_0,2
1028980248,0_0_0,2
1029221024,0_0_0,2
1029406564120256384,0_0_0,2
1029791795939553152,0_0_0,2
1030083338726461440,0_0_0,2
1030158297620508544,0_0_0,2
103021656,0_0_0,2
1030463210820980736,0_0_0,2
1030601712975929216,0_0_0,2
1030794205080289152,0_0_0,2
1030923877117915136,0_0_0,2
1031265460849979136,0_0_0,2
1031291870,0_0_0,2
103133822,0_0_0,2
1031522659866214400,0_0_0,2
1031844874142793600,0_0_0,2
1032058057734467584,0_0_0,2
1032223343355867136,0_0_0,2
1032460667566125056,0_0_0,2
1032691641167925248,0_0_0,2
1032990658024431616,0_0_0,2
1033039820778614784,0_0_0,2
103319385,0_0_0,2
1033378183436029952,0_0_0,2
1033714206,0_0_0,2
1033796591252111232,0_0_0,2
1034014840799391616,0_0_0,2
1034837805371993984,0_0_0,2
1034894089307807616,0_0_0,2
103506616,0_0_0,2
1035172715748098048,0_0_0,2
1035352542790725632,0_0_0,2
1035722803796959232,0_0_0,2
1036036258802352000,0_0_0,2
1036109120334639232,0_0_0,2
1036468166250123264,0_0_0,2
1036764490618925056,0_0_0,2
103686531,0_0_0,2
1037123395853398016,0_0_0,2
1037263988181032832,0_0_0,2
1037416185862803456,0_0_0,2
1037451921928408960,0_0_0,2
1037561548212977664,0_0_0,2
1037876006,0_0_0,2
1038097190311420032,0_0_0,2
1038252002059403264,0_0_0,2
1038547264590045184,0_0_0,2
1038612594729267200,0_0_0,2
1038960675563814784,0_0_0,2
1039170650286501760,0_0_0,2
103937832,0_0_0,2
1039603414987100032,0_0_0,2
1039705866516279168,0_0_0,2
103981849,0_0_0,2
1040011944646897664,0_0_0,2
1040212591300099968,0_0_0,2
1040263504589148032,0_0_0,2
1040383470013493248,0_0_0,2
104047463,0_0_0,2
104069413,0_0_0,2
1040988953225117568,0_0_0,2
1041021666,0_0_0,2
1041156288,0_0_0,2
1041364405932449536,0_0_0,2
1041380837827207168,0_0_0,2
1041439292424257536,0_0_0,2
1041631087,0_0_0,2
104177157,0_0_0,2
1041870194942115840,0_0_0,2
1042057149164281856,0_0_0,2
1042424567715770368,0_0_0,2
