original_user_id,block,condition
1038159138453254016,0_0_0,0
1038456467421052800,0_0_0,0
1038573631729815552,0_0_0,0
1038788593,0_0_0,0
1038963373470375936,0_0_0,0
1039185905754558464,0_0_0,0
1039390967596503040,0_0_0,0
1039657332173627136,0_0_0,0
1039707277270376448,0_0_0,0
1039886378958577664,0_0_0,0
1040058610271887232,0_0_0,0
1040235121,0_0_0,0
1040306670071627648,0_0_0,0
1040402558811033600,0_0_0,0
1040492514526941184,0_0_0,0
1040792327759917056,0_0_0,0
1040991589,0_0_0,0
1041058422,0_0_0,0
1041242061847060352,0_0_0,0
1041367802,0_0_0,0
1041407964823937024,0_0_0,0
1041500469640736768,0_0_0,0
1041667035808161536,0_0_0,0
1041807853156265984,0_0_0,0
104198235,0_0_0,0
1042077833915510784,0_0_0,0
1042483389431984000,0_0_0,0
1042621724045586432,0_0_0,0
10427432,0_0_0,0
1042963013106429952,0_0_0,0
104318186,0_0_0,0
104329383,0_0_0,0
1043614294187933568,0_0_0,0
1043664662313742336,0_0_0,0
1044039095691956224,0_0_0,0
1044264983394050048,0_0_0,0
1044387774940553216,0_0_0,0
1044690301821030400,0_0_0,0
1044969918326873984,0_0_0,0
1045090520404553600,0_0_0,0
1045206421283823616,0_0_0,0
1045352120998940544,0_0_0,0
1045510416590393216,0_0_0,0
1045870712278470656,0_0_0,0
104632411,0_0_0,0
1046433451,0_0_0,0
1046556829105287168,0_0_0,0
1046583014,0_0_0,0
104667182,0_0_0,0
1046950093746835456,0_0_0,0
1047201809809518336,0_0_0,0
1047286283062501248,0_0_0,0
104751688,0_0_0,0
1047832398648561664,0_0_0,0
1048289471362289664,0_0_0,0
1048411556470378368,0_0_0,0
1048564069,0_0_0,0
1048606070543974400,0_0_0,0
1048677798397788032,0_0_0,0
1048813014789419008,0_0_0,0
1049018078,0_0_0,0
1049030442572295936,0_0_0,0
1049079569339355136,0_0_0,0
1049290398,0_0_0,0
1049359387947683840,0_0_0,0
1049750285952962432,0_0_0,0
1049844150860992384,0_0_0,0
1049983012803420032,0_0_0,0
1050092196672794624,0_0_0,0
1050458949886054400,0_0_0,0
1050572146651684864,0_0_0,0
1050750048475209600,0_0_0,0
1051203814978674560,0_0_0,0
1051565647,0_0_0,0
1051625036740611968,0_0_0,0
1051947524507009024,0_0_0,0
1052099327554977536,0_0_0,0
105252513,0_0_0,0
